date_time,num_cases,num_diseased,type
2020-03-06,1,0,fitted
2020-03-11,2,0,fitted
2020-03-12,2,0,fitted
2020-03-13,1,0,fitted
2020-03-14,10,0,fitted
2020-03-15,10,0,fitted
2020-03-16,6,0,fitted
2020-03-17,7,0,fitted
2020-03-18,5,0,fitted
2020-03-19,8,0,fitted
2020-03-20,27,0,fitted
2020-03-21,5,0,fitted
2020-03-22,4,0,fitted
2020-03-23,29,0,fitted
2020-03-24,41,0,fitted
2020-03-25,14,1,fitted
2020-03-26,7,2,fitted
2020-03-27,38,0,fitted
2020-03-28,38,3,fitted
2020-03-29,33,1,fitted
2020-03-30,55,1,fitted
2020-03-31,40,2,fitted
2020-04-01,81,1,fitted
2020-04-02,68,4,fitted
2020-04-03,44,5,fitted
2020-04-04,104,10,fitted
2020-04-05,30,4,fitted
2020-04-06,53,6,fitted
2020-04-07,84,5,fitted
2020-04-08,130,2,fitted
2020-04-09,36,4,fitted
2020-04-10,88,3,fitted
2020-04-11,44,5,fitted
2020-04-12,19,1,fitted
2020-04-13,24,4,fitted
2020-04-14,36,6,fitted
2020-04-15,48,3,fitted
2020-04-16,43,4,fitted
2020-04-17,59,1,fitted
2020-04-18,86,2,fitted
2020-04-19,119,4,fitted
2020-04-20,79,4,fitted
2020-04-21,74,6,fitted
2020-04-22,84,1,fitted
2020-04-23,47,2,fitted
2020-04-24,179,4,fitted
2020-04-25,90,1,fitted
2020-04-26,93,6,fitted
2020-04-27,105,3,fitted
2020-04-28,64,6,fitted
2020-04-29,133,6,fitted
2020-04-30,89,8,fitted
2020-05-01,144,3,fitted
2020-05-02,71,3,fitted
2020-05-03,111,3,fitted
2020-05-04,127,5,fitted
2020-05-05,193,2,fitted
2020-05-06,200,7,fitted
2020-05-07,129,3,fitted
2020-05-08,225,4,fitted
2020-05-09,209,6,fitted
2020-05-10,127,7,fitted
2020-05-11,150,7,fitted
2020-05-12,258,0,fitted
2020-05-13,121,3,fitted
2020-05-14,207,2,fitted
2020-05-15,115,7,fitted
2020-05-16,278,4,fitted
2020-05-17,241,3,fitted
2020-05-18,197,5,fitted
2020-05-19,216,5,fitted
2020-05-20,253,6,fitted
2020-05-21,122,10,fitted
2020-05-22,280,10,fitted
2020-05-23,382,10,fitted
2020-05-24,237,7,fitted
2020-05-25,176,4,fitted
2020-05-26,355,8,fitted
2020-05-27,305,7,fitted
2020-05-28,490,4,fitted
2020-05-29,628,12,fitted
2020-05-30,478,8,fitted
2020-05-31,346,12,fitted
2020-06-01,383,8,fitted
2020-06-02,374,6,fitted
2020-06-03,505,9,fitted
2020-06-04,535,12,fitted
2020-06-05,403,15,fitted
2020-06-06,378,9,fitted
2020-06-07,319,10,fitted
2020-06-08,439,13,fitted
2020-06-09,391,14,fitted
2020-06-10,424,11,fitted
2020-06-11,408,14,fitted
2020-06-12,416,8,fitted
2020-06-13,564,11,fitted
2020-06-14,627,19,fitted
2020-06-15,414,20,fitted
2020-06-16,807,14,fitted
2020-06-17,81,25,fitted
2020-06-18,806,9,fitted
2020-06-19,1082,17,fitted
2020-06-20,697,13,fitted
2020-06-21,875,22,fitted
2020-06-22,1182,21,fitted
2020-06-23,1332,28,fitted
2020-06-24,114,26,fitted
2020-06-25,1277,23,fitted
2020-06-26,1011,31,fitted
2020-06-27,2155,32,fitted
2020-06-28,1469,37,fitted
2020-06-29,24,31,fitted
2020-06-30,706,35,fitted
2020-07-01,1415,29,fitted
2020-07-02,1334,41,fitted
2020-07-03,1448,49,fitted
2020-07-04,1181,35,fitted
2020-07-05,1287,44,fitted
2020-07-06,1096,44,fitted
2020-07-07,1626,53,fitted
2020-07-08,1506,47,fitted
2020-07-09,1646,70,fitted
2020-07-10,2685,63,fitted
2020-07-11,2516,74,fitted
2020-07-12,2198,60,fitted
2020-07-13,1724,75,fitted
2020-07-14,1907,73,fitted
2020-07-15,2461,88,fitted
2020-07-16,3129,79,fitted
2020-07-17,156,103,fitted
2020-07-18,1876,84,fitted
2020-07-19,3801,66,fitted
2020-07-20,4092,96,fitted
2020-07-21,3571,114,fitted
2020-07-22,3967,97,fitted
2020-07-23,2328,112,fitted
2020-07-24,3270,110,fitted
2020-07-25,2483,104,fitted
2020-07-26,106,111,fitted
2020-07-27,3205,104,fitted
2020-07-28,8580,99,fitted
2020-07-29,3236,112,fitted
2020-07-30,3179,129,fitted
2020-07-31,550,130,fitted
2020-08-01,3934,90,fitted
2020-08-02,6897,112,fitted
2020-08-03,3040,121,fitted
2020-08-04,4936,107,fitted
2020-08-05,3629,115,fitted
2020-08-06,2788,102,fitted
2020-08-07,3383,114,fitted
2020-08-08,3428,120,fitted
2020-08-09,2177,102,fitted
2020-08-10,664,87,fitted
2020-08-11,8464,104,fitted
2020-08-12,1182,85,fitted
2020-08-13,7083,90,fitted
2020-08-14,109,76,fitted
2020-08-15,5046,75,fitted
2020-08-16,8398,83,fitted
2020-08-17,3581,80,fitted
2020-08-18,764,102,fitted
2020-08-19,7903,90,fitted
2020-08-20,3655,81,fitted
2020-08-21,3683,84,fitted
2020-08-22,2910,81,fitted
2020-08-23,3486,63,fitted
2020-08-24,3126,72,fitted
2020-08-25,3263,93,fitted
2020-08-26,2494,72,fitted
2020-08-27,2154,88,fitted
2020-08-28,2871,56,fitted
2020-08-29,1970,80,fitted
2020-08-30,1912,56,fitted
2020-08-31,3414,63,fitted
2020-09-01,2889,53,fitted
2020-09-02,2027,59,fitted
2020-09-03,2555,55,fitted
2020-09-04,2108,79,fitted
2020-09-05,2063,49,fitted
2020-09-06,1218,50,fitted
2020-09-07,2631,74,fitted
2020-09-08,1873,63,fitted
2020-09-09,1751,38,fitted
2020-09-10,2736,58,fitted
2020-09-11,2178,56,fitted
2020-09-12,1561,52,fitted
2020-09-13,869,51,fitted
2020-09-14,1905,51,fitted
2020-09-15,2090,47,fitted
2020-09-16,2093,45,fitted
2020-09-17,2067,44,fitted
2020-09-18,1997,47,fitted
2020-09-19,1653,50,fitted
2020-09-20,1432,41,fitted
2020-09-21,1709,52,fitted
2020-09-22,1663,50,fitted
2020-09-23,2196,55,fitted
2020-09-24,1802,42,fitted
2020-09-25,1756,31,fitted
2020-09-26,1476,34,fitted
2020-09-27,952,27,fitted
2020-09-28,1501,45,fitted
2020-09-29,2019,28,fitted
2020-09-30,1382,36,fitted
2020-10-01,1705,39,fitted
2020-10-02,2281,37,fitted
2020-10-03,2041,41,fitted
2020-10-04,1645,30,fitted
2020-10-05,1624,27,fitted
2020-10-06,1766,45,fitted
2020-10-07,1902,39,fitted
2020-10-08,2054,35,fitted
2020-10-09,1696,37,fitted
2020-10-10,1606,41,fitted
2020-10-11,1075,37,fitted
2020-10-12,1038,50,fitted
2020-10-13,968,38,fitted
2020-10-14,1361,34,fitted
2020-10-15,2334,31,fitted
2020-10-16,1768,51,fitted
2020-10-17,1652,34,fitted
2020-10-18,1150,25,fitted
2020-10-19,1741,32,fitted
2020-10-20,2048,37,fitted
2020-10-21,1841,41,fitted
2020-10-22,1960,39,fitted
2020-10-23,2053,40,fitted
2020-10-24,1440,39,fitted
2020-10-25,1236,35,fitted
2020-10-26,1887,40,fitted
2020-10-27,2258,27,fitted
2020-10-28,2057,34,fitted
2020-10-29,2118,45,fitted
2020-10-30,1826,30,fitted
2020-10-31,1945,27,fitted
2020-11-01,1305,33,fitted
2020-11-02,1848,44,fitted
2020-11-03,1933,52,fitted
2020-11-04,2029,47,fitted
2020-11-05,1624,31,fitted
2020-11-06,1764,41,fitted
2020-11-07,1696,37,fitted
2020-11-08,1584,30,fitted
2020-11-09,1701,35,fitted
2020-11-10,1960,41,fitted
2020-11-11,1717,37,fitted
2020-11-12,2055,49,fitted
2020-11-13,1486,39,fitted
2020-11-14,1444,31,fitted
2020-11-15,926,42,fitted
2020-11-16,1855,34,fitted
2020-11-17,2238,27,fitted
2020-11-18,1397,37,fitted
2020-11-19,2189,38,fitted
2020-11-20,1711,34,fitted
2020-11-21,2030,35,fitted
2020-11-22,1471,47,fitted
2020-11-23,1899,44,fitted
2020-11-24,2416,35,fitted
2020-11-25,2744,38,fitted
2020-11-26,2486,38,fitted
2020-11-27,2768,42,fitted
2020-11-28,2014,32,fitted
2020-11-29,1617,42,fitted
2020-11-30,1984,30,fitted
2020-12-01,2463,45,fitted
2020-12-02,2410,35,fitted
2020-12-03,1804,38,fitted
2020-12-04,3137,46,fitted
2020-12-05,2508,35,fitted
2020-12-06,1631,38,fitted
2020-12-07,2490,34,fitted
2020-12-08,2123,37,fitted
2020-12-09,2844,39,fitted
2020-12-10,3047,47,fitted
2020-12-11,3070,49,fitted
2020-12-12,3116,49,fitted
2020-12-13,2198,44,fitted
2020-12-14,3183,39,fitted
2020-12-15,3697,48,fitted
2020-12-16,4445,43,fitted
