date_time,confirmed,death,type
2020-03-06,0.0,0.0,fitted
2020-03-07,0.0,0.0,fitted
2020-03-08,0.0,0.0,fitted
2020-03-09,0.0,0.0,fitted
2020-03-10,1.0,0.0,fitted
2020-03-11,2.0,0.0,fitted
2020-03-12,3.0,0.0,fitted
2020-03-13,4.0,0.0,fitted
2020-03-14,6.0,0.0,fitted
2020-03-15,7.0,0.0,fitted
2020-03-16,7.0,0.0,fitted
2020-03-17,9.0,0.0,fitted
2020-03-18,9.0,0.0,fitted
2020-03-19,10.0,0.0,fitted
2020-03-20,12.0,1.0,fitted
2020-03-21,15.0,1.0,fitted
2020-03-22,18.0,1.0,fitted
2020-03-23,20.0,1.0,fitted
2020-03-24,22.0,1.0,fitted
2020-03-25,24.0,1.0,fitted
2020-03-26,26.0,1.0,fitted
2020-03-27,30.0,2.0,fitted
2020-03-28,34.0,2.0,fitted
2020-03-29,41.0,3.0,fitted
2020-03-30,49.0,3.0,fitted
2020-03-31,54.0,4.0,fitted
2020-04-01,61.0,5.0,fitted
2020-04-02,63.0,6.0,fitted
2020-04-03,63.0,6.0,fitted
2020-04-04,64.0,5.0,fitted
2020-04-05,67.0,5.0,fitted
2020-04-06,69.0,5.0,fitted
2020-04-07,75.0,5.0,fitted
2020-04-08,75.0,4.0,fitted
2020-04-09,71.0,4.0,fitted
2020-04-10,61.0,4.0,fitted
2020-04-11,49.0,3.0,fitted
2020-04-12,39.0,3.0,fitted
2020-04-13,37.0,3.0,fitted
2020-04-14,37.0,3.0,fitted
2020-04-15,44.0,3.0,fitted
2020-04-16,56.0,2.0,fitted
2020-04-17,67.0,2.0,fitted
2020-04-18,77.0,2.0,fitted
2020-04-19,84.0,2.0,fitted
2020-04-20,84.0,2.0,fitted
2020-04-21,87.0,2.0,fitted
2020-04-22,90.0,2.0,fitted
2020-04-23,94.0,3.0,fitted
2020-04-24,101.0,3.0,fitted
2020-04-25,102.0,3.0,fitted
2020-04-26,102.0,3.0,fitted
2020-04-27,101.0,3.0,fitted
2020-04-28,99.0,4.0,fitted
2020-04-29,102.0,4.0,fitted
2020-04-30,105.0,5.0,fitted
2020-05-01,107.0,5.0,fitted
2020-05-02,115.0,5.0,fitted
2020-05-03,126.0,5.0,fitted
2020-05-04,140.0,6.0,fitted
2020-05-05,156.0,6.0,fitted
2020-05-06,173.0,7.0,fitted
2020-05-07,179.0,7.0,fitted
2020-05-08,180.0,6.0,fitted
2020-05-09,181.0,6.0,fitted
2020-05-10,177.0,5.0,fitted
2020-05-11,179.0,5.0,fitted
2020-05-12,174.0,4.0,fitted
2020-05-13,178.0,4.0,fitted
2020-05-14,187.0,4.0,fitted
2020-05-15,197.0,4.0,fitted
2020-05-16,205.0,4.0,fitted
2020-05-17,218.0,4.0,fitted
2020-05-18,216.0,5.0,fitted
2020-05-19,219.0,5.0,fitted
2020-05-20,225.0,6.0,fitted
2020-05-21,237.0,6.0,fitted
2020-05-22,248.0,7.0,fitted
2020-05-23,263.0,7.0,fitted
2020-05-24,271.0,7.0,fitted
2020-05-25,295.0,8.0,fitted
2020-05-26,335.0,8.0,fitted
2020-05-27,383.0,10.0,fitted
2020-05-28,430.0,11.0,fitted
2020-05-29,457.0,11.0,fitted
2020-05-30,451.0,11.0,fitted
2020-05-31,440.0,11.0,fitted
2020-06-01,431.0,11.0,fitted
2020-06-02,427.0,11.0,fitted
2020-06-03,436.0,10.0,fitted
2020-06-04,437.0,11.0,fitted
2020-06-05,426.0,10.0,fitted
2020-06-06,410.0,10.0,fitted
2020-06-07,396.0,9.0,fitted
2020-06-08,392.0,9.0,fitted
2020-06-09,400.0,10.0,fitted
2020-06-10,418.0,11.0,fitted
2020-06-11,448.0,13.0,fitted
2020-06-12,470.0,15.0,fitted
2020-06-13,515.0,17.0,fitted
2020-06-14,517.0,17.0,fitted
2020-06-15,533.0,19.0,fitted
2020-06-16,572.0,20.0,fitted
2020-06-17,614.0,21.0,fitted
2020-06-18,684.0,22.0,fitted
2020-06-19,785.0,25.0,fitted
2020-06-20,884.0,27.0,fitted
2020-06-21,928.0,27.0,fitted
2020-06-22,948.0,28.0,fitted
2020-06-23,937.0,28.0,fitted
2020-06-24,1022.0,33.0,fitted
2020-06-25,1134.0,39.0,fitted
2020-06-26,1176.0,42.0,fitted
2020-06-27,1167.0,43.0,fitted
2020-06-28,1147.0,43.0,fitted
2020-06-29,1052.0,39.0,fitted
2020-06-30,1047.0,38.0,fitted
2020-07-01,1074.0,37.0,fitted
2020-07-02,1174.0,39.0,fitted
2020-07-03,1273.0,42.0,fitted
2020-07-04,1309.0,44.0,fitted
2020-07-05,1315.0,46.0,fitted
2020-07-06,1362.0,50.0,fitted
2020-07-07,1503.0,57.0,fitted
2020-07-08,1712.0,64.0,fitted
2020-07-09,1929.0,70.0,fitted
2020-07-10,2095.0,72.0,fitted
2020-07-11,2156.0,72.0,fitted
2020-07-12,2174.0,73.0,fitted
2020-07-13,2216.0,79.0,fitted
2020-07-14,2096.0,80.0,fitted
2020-07-15,2025.0,82.0,fitted
2020-07-16,2059.0,85.0,fitted
2020-07-17,2230.0,94.0,fitted
2020-07-18,2530.0,108.0,fitted
2020-07-19,2946.0,121.0,fitted
2020-07-20,3230.0,131.0,fitted
2020-07-21,3473.0,137.0,fitted
2020-07-22,3388.0,131.0,fitted
2020-07-23,2971.0,114.0,fitted
2020-07-24,2633.0,99.0,fitted
2020-07-25,2786.0,104.0,fitted
2020-07-26,3051.0,111.0,fitted
2020-07-27,3551.0,124.0,fitted
2020-07-28,3726.0,127.0,fitted
2020-07-29,3718.0,122.0,fitted
2020-07-30,3758.0,122.0,fitted
2020-07-31,3619.0,118.0,fitted
2020-08-01,3659.0,118.0,fitted
2020-08-02,4017.0,131.0,fitted
2020-08-03,4139.0,132.0,fitted
2020-08-04,4121.0,127.0,fitted
2020-08-05,3824.0,112.0,fitted
